,Path,Celebrity,Feature_Embedding
0,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero190_71.jpg,pins_Ursula Corbero,[0.0965476  0.05815694 0.07230305 ... 0.02902164 0.00117525 0.01407281]
1,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero97_166.jpg,pins_Ursula Corbero,[0.04704474 0.01476635 0.01935564 ... 0.05711038 0.         0.04921503]
2,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero225_93.jpg,pins_Ursula Corbero,[0.04495584 0.04610025 0.0486451  ... 0.04160564 0.         0.02710332]
3,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero1_1.jpg,pins_Ursula Corbero,[0.28075552 0.01297965 0.02134675 ... 0.06647808 0.00964563 0.03009116]
4,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero77_149.jpg,pins_Ursula Corbero,[0.3127617  0.00423972 0.02053874 ... 0.05771552 0.00683681 0.01389613]
5,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero232_103.jpg,pins_Ursula Corbero,[0.03814592 0.04038831 0.02713728 ... 0.05706208 0.         0.015316  ]
6,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero222_90.jpg,pins_Ursula Corbero,[0.22606717 0.00200878 0.01740987 ... 0.06511746 0.00949986 0.02192882]
7,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero17_55.jpg,pins_Ursula Corbero,"[8.6921252e-02 9.9098571e-03 1.3786069e-02 ... 3.9419800e-02 4.3120312e-05
 3.3414766e-02]"
8,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero38_122.jpg,pins_Ursula Corbero,[0.25234827 0.02305982 0.01149711 ... 0.04331469 0.01250963 0.01212745]
9,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero231_102.jpg,pins_Ursula Corbero,[0.35317603 0.01186161 0.01629432 ... 0.04931262 0.03157115 0.01338264]
10,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero20_77.jpg,pins_Ursula Corbero,[0.08215142 0.01423713 0.01600072 ... 0.05580629 0.00028686 0.04957533]
